City,Place,Ratings,Distance,Place_desc
Manali,1. Capture the Sceneries of Old Manali,3.9,2 km  from city center,"On the other side of the Manalsu river is a part of Manali, time left behind. With a sweet scent of an old world charm, interspersed with guesthouses and an increasing presence of tourism and hints of the present that it brings along, Old Manali is a tiny shift in the world and its rush, one must experience while here."
Manali,2. Engage in the Adventures of Solang Valley,4.6,8 km  from city center,"Solang Valley is one of the most popular tourist destinations in Himachal Pradesh. It is popular for adventure sports. During winters, Solang valley is covered with snow making skiing is a popular sport here. There are training institutes and trainers located to supervise skiers and train beginners."
Manali,3. Jogini Waterfall,4.6,4 km  from city center,Jogini Waterfall is located about 3 kilometres away from the bustling town of Manali and around 2 kilometres away from Vashisht Temple. Tourists have to trek ahead from the temple to reach Jogini Waterfall.
Manali,4. Hadimba Temple,4.4,1 km  from city center,"Hadimba temple, away from the hustle and bustle of city life,  is a peaceful place surrounded by towering deodar trees. The temple is dedicated to Hidimba, the wife of Bhima, one of the five Pandava prince from the great Indian epic Mahabharata. The main attraction of the temple is the three day Hidimba Devi Festival, which attracts devotees from all over the world and features colourful folk dance performances."
Manali,5. Rohtang Pass,4.4,16 km  from city center,"Rohtang pass is the stretch which connects Manali to Himachal's more dreamy and dessert-like landscapes, Spiti and Lahaul. This vast snow desert is a landscape like only a few other and a view one should not miss. Popular adventure sports here are sledge ride, mountain biking, and skiing. Many blockbusters ranging from 'Jab We Met' to 'Yeh Jawani Hai Deewani' have been shot here."
Manali,7. Sethan Valley,4.0,3 km  from city center,"Sethan is a quaint village in Himachal Pradesh, approximately 12 km from Manali. This Buddhist village is a tiny hamlet that oversees the Dhauladhar range. Covered in snow during winters, Sethan Valley is a great place to try out skiing and snowboarding."
Manali,10. Peek into the History of Manu Temple,3.4,2 km  from city center,"Manu temple is said to be the only temple of Manu in India, who is believed to be the creator of human race. This Pagoda style of structure offers quite a glimpse into history, spirituality as well as a fascinating style of architecture."
Manali,11. Bathe in the Hot Springs of Manikaran,3.4,28 km  from city center,"Manikaran is a small town situated between rivers Parvati and Beas, famous for its hot water springs and beautiful landscapes. The town has a famous Gurudwara called Manikaran Sahib and it is frequented by Sikhs from all over the country."
Manali,12. Paraglide in the Skies,4.0,2 km  from city center,"The hillside town of Manali is famous for paragliding. At 2050 metres above sea level, it is an ultimate location for the sport, with its beautiful green valleys, stark blue skies, and snow-capped mountain peaks. The picture-perfect valley boasts of ideal wind conditions for paragliding and is thronged by both international and domestic tourists. Starting with a basic training course, the operators are well organized, competent and trustworthy."
Manali,15. Take a Dip in the Vashisht Baths,3.7,1 km  from city center,"Located inside the very famous Vashisht Temple in Manali, Vashisht Baths is a hot water spring, believed to possess medicinal values. Also known as Vashisht Springs, it is visited by a lot of tourists, many of whom take a dip in the holy water to rid themselves of skin diseases and infections."
Manali,17. Picnic in Van Vihar,3.4,0 km  from city center,"Adorned with sky touching deodar trees, Van Vihar National Park,is located near the Mall Road making it easily accessible. The favourite attraction of this park is a man-made lake that is open for boating."
Manali,19. Naggar,3.4,14 km  from city center,"Naggar is an unexplored and modest town in the Kullu district, which will give you all the time to leisurely walk around, rest and rejuvenate amongst mountains, valleys, lush greenery and the River Beas flowing in much proximity."
Manali,20. Bhrigu Lake,3.2,8 km  from city center,Bhrigu Lake is a high altitude lake located in the district of Kullu about 40 kilometres away from Manali. The route to the lake passes through mesmerising meadows. Not many tourists know about the beautiful Bhrigu Lake Meadows that can be compared with the alpine meadows found at high altitude locations like Switzerland.
Manali,21. Kullu,3.4,32 km  from city center,"This sister town to Manali too, is a hill station of dreamy landscapes and sceneries, a hub of adventure activities as well as home to a number of sacred temples and shrines."
Manali,22. Adventure Activities,3.7,12 km  from city center,"Manali is the hub of adventure activities in Himachal Pradesh. From white river rafting to trekking opportunities to zorbing to horse-riding to skiing to paragliding, Manali has everything to offer."
Manali,23. Ski in the chilling snow,4.0,9 km  from city center,"A major tourist spot of North India, Manali is known for its excellent skiing conditions with skiing enthusiasts visiting from all over the country. The undulating slopes of Solang Valley and Rohtang Pass are perfect for skiing. They are popular for amateurs to learn their first move while ideal grounds for professional skiing in Manali. So, if you are an adventure lover, leave yourself in the hands of your professional trainers to feel the thrill of skiing in the picturesque setting of Manali."
Manali,24. Trek to Cafes in Malana,3.4,21 km  from city center,"This village in Kullu, is a bit of shift in the world as we know it. There are around 200-300 stone roof houses sheltering 1500 people in this settlement which is one of its kind."
Manali,27. Trek through The Great Himalayan National Park,3.4,63 km  from city center,"The newest addition to the list of National parks in India, The Great Himalayan National Park is quickly becoming what the wildlife scene in the region is being identified with and defined by."
